ID,Married,Gender,Age,Graduate,Profession,Years_of_Working,Spending_Score,Family_Members,Category,Class(Target)
1369,1,0.0,65,1.0,Entertainment,1.0,High,2.0,Cat_6,A
1370,0,1.0,19,0.0,Healthcare,0.0,Low,2.0,Cat_6,B
1371,0,1.0,31,1.0,Marketing,0.0,Low,9.0,Cat_7,B
1372,0,0.0,53,1.0,Artist,0.0,Average,2.0,Cat_6,A
1373,0,1.0,50,1.0,Artist,1.0,Low,1.0,Cat_2,D
1374,0,0.0,57,0.0,Homemaker,,High,2.0,Cat_6,D
1375,1,1.0,38,1.0,Entertainment,8.0,Low,1.0,Cat_6,B
1376,0,1.0,18,0.0,Healthcare,0.0,Low,5.0,Cat_3,B
1377,0,1.0,40,1.0,Entertainment,1.0,Low,3.0,Cat_6,C
1378,0,1.0,27,0.0,Healthcare,1.0,Low,4.0,Cat_6,D
1379,0,0.0,81,0.0,,,High,2.0,Cat_6,C
1380,0,1.0,19,0.0,Healthcare,,Low,6.0,Cat_3,B
1381,1,1.0,19,0.0,Healthcare,0.0,Low,,Cat_4,D
1382,1,0.0,83,0.0,Lawyer,1.0,Low,1.0,Cat_6,D
1383,1,1.0,25,1.0,Doctor,7.0,Low,1.0,Cat_6,D
1384,1,0.0,82,0.0,Executive,1.0,Low,1.0,Cat_6,B
1385,0,0.0,82,0.0,Lawyer,0.0,Average,2.0,Cat_6,D
1386,1,0.0,42,0.0,Entertainment,1.0,Low,4.0,Cat_4,D
1387,1,0.0,27,0.0,Engineer,0.0,Average,2.0,Cat_6,B
1388,0,0.0,40,1.0,Artist,0.0,Low,1.0,Cat_6,C
1389,0,1.0,40,1.0,Doctor,1.0,Low,1.0,Cat_6,D
1390,1,0.0,56,0.0,Executive,1.0,Average,3.0,Cat_6,C
1391,0,0.0,43,1.0,Artist,1.0,High,4.0,Cat_3,A
1392,1,0.0,50,1.0,Artist,0.0,Low,3.0,Cat_6,C
1393,1,0.0,57,1.0,Entertainment,1.0,Low,,Cat_6,D
1394,1,0.0,45,1.0,Artist,1.0,Average,6.0,Cat_5,A
1395,1,0.0,50,1.0,Artist,0.0,Average,5.0,Cat_6,A
1396,0,1.0,28,1.0,Engineer,9.0,Low,5.0,Cat_6,D
1397,1,0.0,37,0.0,Executive,9.0,High,4.0,Cat_6,B
1398,0,1.0,25,1.0,Homemaker,13.0,Low,1.0,,C
1399,0,1.0,46,1.0,Artist,5.0,Low,1.0,Cat_2,C
1400,1,1.0,40,1.0,Artist,8.0,Low,2.0,Cat_3,C
1401,1,0.0,37,1.0,Artist,1.0,Average,2.0,Cat_6,C
1402,1,1.0,22,0.0,Healthcare,9.0,Low,4.0,Cat_3,B
1403,1,1.0,35,1.0,Entertainment,0.0,Low,3.0,Cat_3,D
1404,1,1.0,26,1.0,Healthcare,8.0,Low,2.0,Cat_6,A
1405,0,0.0,31,0.0,Artist,0.0,Low,3.0,Cat_6,D
1406,0,0.0,60,1.0,Artist,1.0,Average,2.0,Cat_6,A
1407,1,1.0,26,1.0,Healthcare,0.0,Low,5.0,Cat_6,B
1408,1,0.0,61,0.0,Entertainment,1.0,Average,2.0,Cat_7,C
1409,1,0.0,40,0.0,Artist,,Average,2.0,Cat_4,D
1410,0,0.0,27,1.0,Engineer,0.0,Average,4.0,Cat_7,D
1411,1,0.0,41,1.0,Entertainment,2.0,Low,2.0,Cat_4,A
1412,1,0.0,84,,Lawyer,1.0,Low,1.0,Cat_6,D
1413,1,1.0,38,1.0,Doctor,7.0,Low,1.0,Cat_6,A
1414,0,0.0,53,0.0,Engineer,12.0,Low,2.0,Cat_3,A
1415,0,1.0,28,0.0,Healthcare,7.0,Low,3.0,Cat_5,D
1416,0,0.0,41,1.0,Engineer,1.0,Average,3.0,Cat_6,A
1417,0,1.0,27,1.0,Healthcare,4.0,Low,4.0,Cat_6,D
1418,1,1.0,26,0.0,Entertainment,6.0,Low,2.0,Cat_4,B
1419,1,0.0,48,1.0,Artist,3.0,Low,1.0,Cat_6,C
1420,0,0.0,43,0.0,Entertainment,7.0,Average,5.0,Cat_2,C
1421,0,0.0,48,1.0,Artist,2.0,Average,4.0,Cat_6,A
1422,1,0.0,73,1.0,Artist,1.0,Average,,Cat_3,A
1423,1,0.0,26,1.0,Artist,,Low,2.0,Cat_6,B
1424,0,0.0,45,1.0,Artist,1.0,Average,2.0,Cat_6,C
1425,1,0.0,37,1.0,Artist,1.0,High,,Cat_6,C
1426,0,0.0,43,1.0,Healthcare,6.0,Average,2.0,Cat_6,C
1427,1,1.0,41,1.0,Artist,,Low,3.0,Cat_6,A
1428,1,0.0,61,1.0,Executive,0.0,High,2.0,Cat_6,A
1429,1,1.0,37,1.0,Artist,0.0,Low,1.0,Cat_6,A
1430,0,0.0,26,1.0,Engineer,9.0,Low,2.0,Cat_6,C
1431,1,0.0,28,1.0,Entertainment,0.0,Average,2.0,Cat_6,B
1432,0,0.0,56,1.0,Artist,,Low,2.0,Cat_6,A
1433,1,1.0,18,0.0,Entertainment,0.0,Low,5.0,Cat_6,A
1434,1,0.0,27,0.0,Executive,10.0,High,3.0,Cat_6,D
1435,1,0.0,78,0.0,Lawyer,1.0,High,2.0,Cat_6,D
1436,0,0.0,43,1.0,Entertainment,0.0,Low,2.0,Cat_4,C
1437,1,0.0,50,0.0,Executive,0.0,High,5.0,Cat_6,C
1438,0,1.0,31,0.0,Healthcare,0.0,Low,,Cat_4,B
1439,1,1.0,37,1.0,Entertainment,0.0,Low,1.0,Cat_6,D
1440,1,0.0,38,1.0,Entertainment,8.0,Low,2.0,Cat_3,C
1441,1,0.0,69,1.0,Lawyer,0.0,High,4.0,Cat_6,A
1442,1,0.0,57,1.0,Executive,1.0,Average,5.0,Cat_6,A
1443,0,1.0,25,0.0,Executive,1.0,Low,3.0,Cat_6,B
1444,0,0.0,30,0.0,Homemaker,9.0,Low,3.0,Cat_3,C
1445,0,0.0,57,1.0,Artist,2.0,High,3.0,Cat_6,A
1446,1,1.0,33,0.0,Healthcare,0.0,Low,5.0,Cat_5,A
1447,0,1.0,25,0.0,Healthcare,0.0,Low,,Cat_6,B
1448,1,,43,0.0,Executive,,Average,3.0,Cat_3,D
1449,1,1.0,33,0.0,Doctor,1.0,Low,4.0,Cat_6,B
1450,0,1.0,43,1.0,Artist,1.0,Low,3.0,Cat_6,D
1451,0,0.0,81,0.0,Lawyer,0.0,High,2.0,Cat_6,C
1452,1,0.0,26,0.0,Doctor,4.0,Average,3.0,Cat_3,B
1453,0,1.0,67,1.0,Engineer,0.0,Low,,Cat_6,B
1454,0,0.0,51,1.0,Artist,6.0,Average,3.0,Cat_6,A
1455,1,0.0,37,1.0,Entertainment,,Low,,Cat_3,B
1456,1,1.0,33,0.0,Entertainment,8.0,Low,1.0,Cat_6,D
1457,1,0.0,45,1.0,Artist,0.0,Average,4.0,Cat_6,A
1458,1,0.0,40,1.0,Executive,0.0,High,4.0,Cat_6,C
1459,1,0.0,49,1.0,Artist,1.0,Low,2.0,Cat_6,A
1460,1,0.0,52,1.0,Artist,6.0,Average,4.0,Cat_6,A
1461,1,0.0,35,1.0,Executive,4.0,High,4.0,Cat_6,A
1462,1,0.0,55,1.0,Artist,0.0,Low,1.0,Cat_6,C
1463,0,1.0,55,1.0,Artist,3.0,Low,1.0,Cat_6,D
1464,1,0.0,76,1.0,Lawyer,1.0,High,2.0,Cat_6,A
1465,1,0.0,38,1.0,Artist,6.0,Low,1.0,Cat_7,B
1466,1,0.0,38,0.0,Entertainment,0.0,Average,2.0,Cat_6,B
1467,0,0.0,66,1.0,Engineer,8.0,Average,2.0,Cat_6,A
1468,1,0.0,32,1.0,Artist,5.0,Average,2.0,Cat_3,D
1469,1,0.0,51,1.0,Doctor,5.0,Average,7.0,Cat_6,D
1470,1,1.0,35,0.0,Executive,3.0,Low,4.0,Cat_4,B
1471,1,1.0,22,0.0,,2.0,Low,2.0,Cat_3,B
1472,0,1.0,28,0.0,Engineer,6.0,Low,3.0,Cat_4,D
1473,1,0.0,50,0.0,Entertainment,1.0,Average,3.0,Cat_6,C
1474,1,0.0,39,0.0,Homemaker,8.0,Low,1.0,Cat_6,C
1475,1,1.0,23,0.0,Marketing,0.0,Low,,,A
1476,1,0.0,35,1.0,Artist,0.0,Low,3.0,Cat_6,A
1477,0,1.0,33,1.0,Engineer,1.0,Low,2.0,Cat_6,D
1478,1,0.0,85,0.0,Lawyer,0.0,Low,1.0,Cat_6,B
1479,1,1.0,27,1.0,Entertainment,8.0,Low,4.0,Cat_3,B
1480,0,0.0,53,0.0,Homemaker,9.0,Low,1.0,Cat_6,D
1481,1,0.0,68,0.0,Executive,1.0,High,7.0,Cat_6,C
1482,1,1.0,27,1.0,Healthcare,1.0,Low,5.0,Cat_6,B
1483,1,0.0,35,1.0,Artist,0.0,Average,2.0,Cat_6,C
1484,0,0.0,38,1.0,Artist,,Average,2.0,Cat_6,C
1485,1,0.0,52,1.0,Artist,4.0,Average,2.0,Cat_6,C
1486,1,0.0,30,1.0,Healthcare,8.0,High,3.0,Cat_2,D
1487,1,1.0,40,1.0,Artist,6.0,Low,2.0,Cat_6,B
1488,1,0.0,87,0.0,Lawyer,1.0,Low,1.0,Cat_6,B
1489,0,1.0,25,0.0,Healthcare,1.0,Low,4.0,Cat_3,D
1490,1,0.0,60,0.0,Artist,0.0,Low,1.0,Cat_6,C
1491,1,0.0,84,0.0,Lawyer,0.0,High,2.0,Cat_6,C
1492,1,1.0,26,0.0,Marketing,1.0,Low,5.0,Cat_6,B
1493,1,0.0,26,0.0,Entertainment,0.0,High,2.0,Cat_6,B
1494,1,0.0,43,0.0,Entertainment,1.0,Low,2.0,Cat_6,C
1495,1,0.0,38,1.0,Healthcare,8.0,Average,4.0,Cat_6,A
1496,1,0.0,25,1.0,Doctor,1.0,Low,2.0,Cat_6,A
1497,1,1.0,40,0.0,Entertainment,5.0,Low,1.0,Cat_3,D
1498,0,0.0,48,1.0,Artist,10.0,Low,2.0,Cat_6,C
1499,1,0.0,36,1.0,Artist,0.0,Low,4.0,Cat_6,B
1500,1,0.0,35,0.0,,1.0,Low,2.0,Cat_6,B
1501,0,0.0,59,1.0,Artist,2.0,High,3.0,Cat_6,B
1502,1,1.0,39,0.0,Entertainment,0.0,Low,4.0,Cat_6,D
1503,0,0.0,20,0.0,Engineer,1.0,Low,2.0,Cat_4,D
1504,1,0.0,35,0.0,Executive,0.0,High,5.0,Cat_6,D
1505,1,1.0,23,0.0,Artist,2.0,Low,5.0,Cat_6,B
1506,0,0.0,31,0.0,Homemaker,12.0,Average,2.0,Cat_6,C
1507,0,1.0,37,1.0,Artist,3.0,Low,1.0,Cat_6,A
1508,0,0.0,43,1.0,Doctor,8.0,Low,1.0,Cat_6,C
1509,0,0.0,69,1.0,Artist,0.0,Average,2.0,Cat_6,A
1510,0,1.0,22,0.0,Healthcare,0.0,Low,4.0,Cat_3,B
1511,1,1.0,21,0.0,Healthcare,1.0,Low,3.0,Cat_3,B
1512,0,1.0,30,1.0,Doctor,0.0,Low,5.0,Cat_7,A
1513,1,0.0,41,0.0,Executive,1.0,Low,7.0,Cat_4,B
1514,1,0.0,42,1.0,Entertainment,,Low,5.0,Cat_3,C
1515,1,1.0,33,0.0,Healthcare,,Low,2.0,Cat_6,D
1516,1,1.0,26,0.0,Healthcare,0.0,Low,,Cat_6,B
1517,0,1.0,35,1.0,Artist,0.0,Low,1.0,Cat_6,D
1518,1,0.0,35,1.0,Executive,2.0,Average,5.0,Cat_6,C
1519,1,1.0,18,0.0,Marketing,2.0,Low,2.0,Cat_3,B
1520,1,0.0,37,1.0,Artist,0.0,Low,2.0,Cat_6,D
1521,0,1.0,26,1.0,Entertainment,1.0,Low,5.0,Cat_6,A
1522,1,1.0,41,1.0,Artist,,Low,3.0,Cat_6,A
1523,1,0.0,50,1.0,Entertainment,0.0,Average,2.0,Cat_3,A
1524,1,0.0,57,1.0,Executive,7.0,High,2.0,Cat_6,A
1525,0,1.0,28,1.0,Healthcare,1.0,Low,3.0,Cat_6,B
1526,1,1.0,23,0.0,Healthcare,1.0,Low,4.0,Cat_6,B
1527,0,0.0,51,1.0,Artist,1.0,Average,4.0,Cat_6,A
1528,0,1.0,37,1.0,Artist,9.0,Low,4.0,Cat_6,D
1529,0,1.0,28,0.0,Homemaker,8.0,Low,,Cat_6,B
1530,0,0.0,45,1.0,Artist,0.0,Average,5.0,Cat_4,A
1531,1,1.0,42,1.0,Entertainment,3.0,Low,2.0,Cat_6,D
1532,1,1.0,35,1.0,Artist,0.0,Low,1.0,Cat_6,C
1533,1,0.0,30,1.0,Entertainment,7.0,Low,2.0,Cat_6,B
1534,0,0.0,42,1.0,Artist,4.0,Average,2.0,Cat_6,A
1535,0,1.0,40,1.0,Healthcare,6.0,Low,2.0,Cat_6,B
1536,1,0.0,55,1.0,Artist,,Average,3.0,Cat_4,D
1537,0,0.0,50,1.0,Artist,,High,3.0,Cat_6,C
1538,1,0.0,39,1.0,,0.0,Average,5.0,Cat_4,D
1539,1,1.0,31,0.0,Healthcare,0.0,Low,6.0,Cat_6,B
1540,1,0.0,55,1.0,Healthcare,0.0,Low,3.0,Cat_4,C
1541,1,1.0,28,1.0,Doctor,0.0,Low,2.0,Cat_6,B
1542,0,0.0,43,1.0,Artist,,Average,2.0,Cat_6,D
1543,1,0.0,33,1.0,,0.0,Low,2.0,Cat_3,B
1544,1,0.0,27,1.0,Entertainment,0.0,Average,2.0,Cat_6,D
1545,0,0.0,74,1.0,Lawyer,1.0,High,,Cat_6,C
1546,1,1.0,31,1.0,Artist,,Low,6.0,Cat_3,D
1547,1,0.0,38,1.0,Doctor,3.0,Average,2.0,Cat_6,A
1548,0,,33,1.0,Healthcare,0.0,Low,5.0,Cat_3,B
1549,0,0.0,25,0.0,Engineer,6.0,Average,8.0,Cat_4,B
1550,1,0.0,28,0.0,Doctor,0.0,Low,5.0,Cat_1,B
1551,1,1.0,18,0.0,Healthcare,1.0,Low,4.0,Cat_4,B
1552,0,0.0,43,1.0,Artist,2.0,Average,3.0,Cat_6,C
1553,1,1.0,30,0.0,Doctor,,Low,5.0,Cat_6,B
1554,1,0.0,50,1.0,Doctor,,Average,2.0,Cat_6,A
1555,1,0.0,39,1.0,Entertainment,2.0,Average,2.0,Cat_6,A
1556,0,0.0,52,1.0,Engineer,0.0,High,5.0,Cat_6,C
1557,1,0.0,49,0.0,Executive,9.0,High,5.0,Cat_3,C
1558,0,0.0,36,1.0,Artist,5.0,Low,2.0,Cat_6,C
1559,1,1.0,36,1.0,Artist,0.0,Low,2.0,Cat_2,A
1560,0,1.0,30,1.0,Healthcare,8.0,Low,1.0,Cat_6,B
1561,1,0.0,31,1.0,Artist,0.0,Average,3.0,Cat_1,B
1562,0,1.0,27,1.0,Healthcare,0.0,Low,1.0,Cat_7,B
1563,1,1.0,49,1.0,,1.0,Low,1.0,Cat_3,D
1564,0,1.0,27,0.0,Marketing,0.0,Low,3.0,Cat_2,A
1565,1,0.0,56,0.0,Healthcare,0.0,High,4.0,Cat_7,C
1566,1,0.0,59,1.0,Artist,1.0,Average,3.0,Cat_3,D
1567,0,1.0,26,0.0,Healthcare,0.0,Low,6.0,Cat_5,D
1568,1,1.0,38,1.0,Artist,1.0,Low,1.0,Cat_3,C
1569,0,1.0,35,1.0,Doctor,0.0,Low,1.0,Cat_6,C
1570,1,0.0,47,0.0,Engineer,,Low,1.0,Cat_6,B
1571,1,1.0,19,0.0,Healthcare,3.0,Low,5.0,Cat_6,B
1572,1,0.0,55,1.0,Executive,1.0,High,3.0,Cat_6,A
1573,1,0.0,47,1.0,Executive,1.0,High,5.0,Cat_4,A
1574,1,0.0,55,1.0,Artist,1.0,Average,2.0,Cat_4,C
1575,1,0.0,43,1.0,Executive,6.0,High,3.0,Cat_6,A
1576,1,1.0,29,0.0,Healthcare,2.0,Low,5.0,Cat_6,B
1577,0,1.0,39,1.0,Engineer,,Low,3.0,Cat_6,C
1578,1,0.0,69,0.0,Lawyer,,High,,Cat_6,B
1579,1,1.0,28,1.0,Marketing,12.0,Low,1.0,Cat_6,D
1580,0,1.0,43,1.0,Doctor,0.0,Low,1.0,Cat_6,D
1581,0,0.0,28,0.0,Homemaker,,Average,2.0,Cat_3,C
1582,1,0.0,50,1.0,Doctor,1.0,Average,4.0,Cat_6,A
1583,0,1.0,31,0.0,Healthcare,4.0,Low,3.0,Cat_6,D
1584,1,1.0,19,0.0,Healthcare,0.0,Low,4.0,Cat_6,B
1585,0,0.0,42,1.0,Doctor,0.0,Low,1.0,Cat_4,C
1586,0,1.0,25,0.0,Doctor,2.0,Low,1.0,Cat_4,B
1587,1,0.0,46,1.0,Artist,,Low,1.0,Cat_6,D
1588,0,0.0,31,0.0,Entertainment,0.0,Average,2.0,Cat_3,D
1589,0,0.0,72,1.0,Artist,1.0,Average,3.0,Cat_6,C
1590,1,0.0,72,1.0,Executive,8.0,High,2.0,Cat_6,A
1591,0,0.0,79,0.0,Lawyer,1.0,High,2.0,Cat_6,A
1592,0,0.0,89,0.0,Lawyer,1.0,High,3.0,Cat_6,C
1593,0,0.0,53,0.0,Engineer,3.0,Low,1.0,Cat_6,D
1594,1,0.0,43,1.0,Healthcare,5.0,Average,2.0,Cat_6,B
1595,1,1.0,42,1.0,Doctor,9.0,Low,1.0,Cat_6,C
1596,1,0.0,52,1.0,Entertainment,1.0,Average,5.0,Cat_6,A
1597,0,0.0,51,1.0,Artist,1.0,Average,5.0,Cat_6,A
1598,0,1.0,36,1.0,Artist,0.0,Low,3.0,Cat_6,D
1599,0,1.0,38,0.0,Artist,14.0,Low,1.0,Cat_6,D
1600,1,0.0,70,0.0,Executive,1.0,High,2.0,Cat_6,D
1601,1,0.0,43,0.0,Doctor,,Average,4.0,Cat_6,D
1602,1,0.0,83,1.0,Executive,0.0,High,2.0,Cat_2,D
1603,0,1.0,23,0.0,Marketing,2.0,Low,6.0,Cat_3,B
1604,1,0.0,37,1.0,Executive,1.0,Low,6.0,Cat_6,B
1605,1,0.0,66,1.0,Artist,2.0,Low,1.0,Cat_6,A
1606,1,0.0,77,1.0,Lawyer,1.0,Low,1.0,Cat_6,B
1607,1,0.0,60,0.0,Executive,0.0,Low,2.0,Cat_6,B
1608,1,0.0,47,0.0,Artist,1.0,Average,4.0,Cat_6,A
1609,0,0.0,86,0.0,Artist,1.0,High,2.0,Cat_6,D
1610,0,1.0,73,1.0,Lawyer,1.0,Low,1.0,Cat_6,D
1611,1,1.0,36,1.0,Artist,0.0,Low,1.0,Cat_6,C
1612,1,1.0,19,0.0,Healthcare,,Low,3.0,Cat_6,B
1613,1,1.0,19,0.0,Healthcare,2.0,Low,4.0,Cat_6,C
1614,0,0.0,48,1.0,Artist,1.0,Average,2.0,Cat_6,C
1615,0,1.0,33,1.0,Engineer,0.0,Low,2.0,Cat_6,D
1616,0,0.0,37,1.0,Artist,,Average,3.0,Cat_7,C
1617,0,0.0,57,1.0,Engineer,,High,3.0,Cat_3,A
1618,0,0.0,25,0.0,Marketing,1.0,Low,4.0,Cat_4,B
1619,1,0.0,60,0.0,Marketing,1.0,High,2.0,Cat_3,D
1620,0,0.0,48,0.0,Engineer,5.0,Average,5.0,Cat_4,D
1621,0,1.0,25,1.0,Artist,5.0,Low,1.0,,A
1622,1,1.0,32,0.0,Doctor,5.0,Low,1.0,Cat_4,B
1623,1,1.0,31,1.0,Healthcare,1.0,Low,4.0,Cat_6,D
1624,1,1.0,32,1.0,Doctor,9.0,Low,1.0,Cat_6,D
1625,1,1.0,19,0.0,Healthcare,9.0,Low,5.0,Cat_6,B
1626,0,0.0,63,1.0,Engineer,1.0,Low,1.0,Cat_6,B
1627,0,1.0,27,1.0,Healthcare,0.0,Low,5.0,Cat_4,D
1628,1,1.0,57,1.0,Marketing,1.0,Low,4.0,Cat_7,D
1629,1,0.0,72,1.0,Entertainment,,High,2.0,Cat_6,A
1630,0,0.0,48,1.0,Artist,0.0,Average,2.0,Cat_3,C
1631,1,0.0,77,1.0,Lawyer,0.0,Low,1.0,Cat_6,B
1632,1,1.0,29,0.0,Entertainment,0.0,Low,3.0,Cat_6,B
1633,1,0.0,36,1.0,Entertainment,1.0,Low,2.0,Cat_6,C
1634,1,1.0,29,1.0,Artist,,Low,3.0,Cat_6,B
1635,1,1.0,27,0.0,Marketing,0.0,Low,7.0,Cat_6,D
1636,1,1.0,42,0.0,Marketing,1.0,Low,5.0,Cat_4,B
1637,1,1.0,31,0.0,Entertainment,1.0,Low,1.0,Cat_4,D
1638,1,0.0,31,1.0,Entertainment,5.0,Average,3.0,Cat_3,D
1639,0,1.0,27,1.0,Healthcare,0.0,Low,4.0,Cat_6,B
1640,1,1.0,32,0.0,Healthcare,,Low,,Cat_5,D
1641,0,0.0,63,1.0,Artist,4.0,Average,4.0,Cat_6,A
1642,0,1.0,63,1.0,Healthcare,3.0,Low,1.0,Cat_6,C
1643,0,0.0,46,1.0,Doctor,9.0,High,3.0,Cat_2,D
1644,0,1.0,38,1.0,Engineer,10.0,Low,1.0,Cat_6,C
1645,0,1.0,32,0.0,Doctor,7.0,Low,4.0,Cat_3,B
1646,0,,22,0.0,Doctor,6.0,High,3.0,Cat_6,B
1647,0,1.0,31,1.0,Engineer,9.0,Low,3.0,Cat_6,B
1648,0,0.0,38,1.0,Artist,1.0,Average,4.0,Cat_6,C
1649,0,0.0,51,1.0,Artist,,High,4.0,Cat_6,D
1650,0,0.0,46,1.0,Artist,,High,,Cat_6,A
1651,0,0.0,37,1.0,Artist,0.0,Average,3.0,Cat_3,D
1652,1,0.0,80,0.0,Lawyer,0.0,Low,1.0,Cat_4,C
1653,0,0.0,37,1.0,Artist,5.0,Average,2.0,Cat_6,C
1654,1,1.0,40,1.0,Healthcare,,Low,2.0,Cat_6,B
1655,0,0.0,42,1.0,Engineer,0.0,High,4.0,Cat_6,C
1656,1,0.0,59,1.0,Entertainment,,Low,,Cat_3,D
1657,1,0.0,32,1.0,Doctor,0.0,Low,,,B
1658,1,0.0,65,1.0,Artist,1.0,Low,1.0,Cat_6,D
1659,1,0.0,62,1.0,Artist,0.0,Average,9.0,Cat_3,A
1660,0,0.0,38,1.0,Artist,1.0,Average,3.0,Cat_4,A
1661,1,1.0,37,1.0,Artist,14.0,Low,1.0,Cat_6,D
1662,1,0.0,39,0.0,Entertainment,9.0,Low,2.0,Cat_3,B
1663,1,0.0,62,1.0,Artist,0.0,Low,1.0,Cat_6,C
1664,1,0.0,50,1.0,Executive,0.0,High,5.0,Cat_6,D
1665,1,1.0,37,1.0,Doctor,,Low,1.0,Cat_2,C
1666,0,0.0,35,1.0,Artist,9.0,Average,4.0,Cat_6,C
1667,0,0.0,40,1.0,Doctor,1.0,Low,,Cat_6,C
1668,1,0.0,36,1.0,Doctor,2.0,Average,2.0,Cat_6,D
1669,0,0.0,41,1.0,Artist,3.0,Average,2.0,Cat_6,D
1670,0,1.0,33,1.0,Healthcare,3.0,Low,4.0,Cat_4,B
1671,1,0.0,74,1.0,Lawyer,9.0,Low,1.0,Cat_6,A
1672,1,0.0,87,1.0,Lawyer,0.0,High,2.0,Cat_6,D
1673,1,1.0,29,1.0,Engineer,0.0,Low,4.0,Cat_3,B
1674,1,1.0,42,1.0,Doctor,8.0,Low,1.0,Cat_2,C
1675,1,0.0,58,1.0,Artist,2.0,Low,1.0,Cat_6,D
1676,0,0.0,58,1.0,Doctor,1.0,Average,2.0,Cat_6,B
1677,1,1.0,31,0.0,Doctor,1.0,Low,4.0,Cat_6,A
1678,0,0.0,83,1.0,Artist,0.0,High,2.0,Cat_6,A
1679,1,0.0,61,1.0,Artist,3.0,Average,2.0,Cat_6,A
1680,1,0.0,25,1.0,Artist,3.0,Average,2.0,Cat_6,C
1681,0,1.0,30,0.0,Healthcare,8.0,Low,3.0,Cat_4,B
1682,1,0.0,52,1.0,Artist,,Average,2.0,Cat_6,C
1683,1,1.0,21,0.0,Healthcare,7.0,Low,4.0,Cat_3,B
1684,1,1.0,47,0.0,Artist,1.0,Low,,Cat_4,D
1685,0,0.0,30,0.0,Engineer,0.0,Average,2.0,Cat_6,B
1686,0,0.0,56,1.0,Doctor,1.0,Average,2.0,Cat_3,A
1687,1,0.0,36,1.0,Executive,0.0,Average,4.0,Cat_6,B
1688,1,1.0,18,0.0,Healthcare,3.0,Low,3.0,Cat_2,A
1689,1,1.0,40,1.0,Artist,0.0,Low,2.0,Cat_2,B
1690,1,1.0,29,0.0,Homemaker,11.0,Low,3.0,Cat_3,B
1691,1,0.0,41,1.0,Artist,1.0,Average,2.0,Cat_6,C
1692,1,0.0,49,1.0,Artist,1.0,Low,1.0,Cat_6,D
1693,1,0.0,77,1.0,Lawyer,1.0,High,2.0,Cat_6,D
1694,1,0.0,26,1.0,Artist,5.0,Average,,Cat_6,D
1695,0,0.0,62,1.0,Artist,,High,3.0,Cat_6,A
1696,0,1.0,46,1.0,Entertainment,8.0,Low,2.0,Cat_6,B
1697,0,1.0,21,0.0,Marketing,1.0,Low,5.0,Cat_4,B
1698,0,0.0,71,1.0,Doctor,1.0,Average,2.0,Cat_6,D
1699,1,0.0,45,1.0,Artist,1.0,Average,2.0,Cat_6,C
1700,0,1.0,40,0.0,Marketing,0.0,Low,1.0,Cat_6,D
1701,1,0.0,42,1.0,Artist,0.0,Average,3.0,Cat_7,D
1702,1,0.0,36,0.0,Engineer,0.0,Average,2.0,Cat_6,C
1703,0,1.0,25,0.0,Doctor,,Low,4.0,Cat_6,B
1704,1,0.0,43,1.0,Entertainment,1.0,Average,5.0,Cat_5,A
1705,0,0.0,48,1.0,Artist,,Average,2.0,Cat_3,C
1706,1,1.0,29,0.0,Doctor,1.0,Low,5.0,Cat_4,B
1707,0,0.0,85,1.0,Lawyer,0.0,Low,5.0,Cat_6,A
1708,1,1.0,26,1.0,Artist,1.0,Low,1.0,Cat_4,B
1709,1,0.0,25,0.0,Doctor,,Average,2.0,Cat_4,C
1710,0,0.0,41,1.0,Artist,1.0,Average,2.0,Cat_6,A
1711,0,0.0,70,1.0,Artist,1.0,Average,2.0,Cat_3,A
1712,1,0.0,72,1.0,Artist,0.0,Low,1.0,Cat_6,C
1713,1,0.0,49,1.0,Artist,1.0,Average,3.0,Cat_6,A
1714,1,0.0,32,1.0,Entertainment,0.0,Average,3.0,Cat_6,D
1715,1,0.0,35,1.0,Artist,,Average,4.0,Cat_3,B
1716,0,1.0,40,1.0,Artist,6.0,Low,2.0,Cat_6,C
1717,1,0.0,89,1.0,Executive,,High,2.0,Cat_6,A
1718,1,0.0,48,1.0,Artist,0.0,Average,2.0,Cat_6,A
1719,1,0.0,56,1.0,Artist,8.0,Average,3.0,Cat_6,A
1720,0,0.0,77,0.0,Lawyer,1.0,High,2.0,Cat_6,B
1721,0,0.0,39,1.0,Healthcare,8.0,High,2.0,Cat_1,B
1722,0,0.0,66,1.0,Lawyer,0.0,High,3.0,Cat_6,A
1723,0,1.0,18,0.0,Healthcare,,Low,,Cat_3,D
1724,1,0.0,49,1.0,Doctor,1.0,Average,2.0,Cat_6,A
1725,1,0.0,42,0.0,Engineer,5.0,Average,4.0,Cat_4,D
1726,1,0.0,41,1.0,Engineer,1.0,Average,2.0,Cat_4,A
1727,1,0.0,60,0.0,Executive,0.0,High,2.0,Cat_6,C
1728,0,1.0,29,0.0,Homemaker,1.0,Low,,Cat_4,D
1729,0,1.0,48,1.0,Artist,1.0,Low,1.0,Cat_2,C
1730,0,1.0,41,1.0,Marketing,,Low,1.0,Cat_6,B
1731,1,0.0,51,0.0,Executive,1.0,High,2.0,Cat_6,C
1732,1,0.0,35,1.0,Artist,1.0,Average,3.0,Cat_6,A
1733,0,1.0,39,1.0,,8.0,Low,,Cat_6,A
1734,1,1.0,27,1.0,Entertainment,0.0,Low,5.0,Cat_6,C
